"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","United Arab Emirates","Male","18.0","17.97226","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","United Arab Emirates","Male","73.9","73.86103","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","United Arab Emirates","Male","64.9","64.91484","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","United Arab Emirates","Male","18.8","18.78866","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","United Arab Emirates","Male","74.3","74.25413","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","United Arab Emirates","Male","65.3","65.26273","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","United Arab Emirates","Male","18.6","18.61118","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","United Arab Emirates","Male","75.1","75.09794","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","United Arab Emirates","Male","65.8","65.84449","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","United Arab Emirates","Male","19.2","19.18054","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","United Arab Emirates","Female","75.1","75.05625","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","United Arab Emirates","Female","63.8","63.75569","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","United Arab Emirates","Female","19.8","19.83245","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","United Arab Emirates","Female","77.4","77.39238","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","United Arab Emirates","Female","65.3","65.25387","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","United Arab Emirates","Female","21.2","21.18052","","","","",""
